web-scraper-order,web-scraper-start-url,pagination,url,url-href
"1724168237-1","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-Hanoi.html","","1. Vietnam Museum of Ethnology","https://www.tripadvisor.com.vn/Attraction_Review-g21375824-d447352-Reviews-Vietnam_Museum_of_Ethnology-Cau_Giay_Hanoi.html"
"1724168237-2","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-Hanoi.html","","2. Bảo tàng Phụ nữ Việt Nam","https://www.tripadvisor.com.vn/Attraction_Review-g293924-d447354-Reviews-Vietnamese_Women_s_Museum-Hanoi.html"
"1724168237-3","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-Hanoi.html","","3. Vietnam Military History Museum","https://www.tripadvisor.com.vn/Attraction_Review-g293924-d455005-Reviews-Vietnam_Military_History_Museum-Hanoi.html"
"1724168237-4","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-Hanoi.html","","4. Viet Nam Fine Arts Museum (Bảo tàng Mỹ thuật Việt Nam)","https://www.tripadvisor.com.vn/Attraction_Review-g293924-d311048-Reviews-Fine_Arts_Museum_Bao_Tang_My_Thuat-Hanoi.html"
"1724168237-5","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-Hanoi.html","","5. Đài Quan Sát Lotte","https://www.tripadvisor.com.vn/Attraction_Review-g293924-d7987859-Reviews-Lotte_Observation_Deck-Hanoi.html"
"1724168237-6","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-Hanoi.html","","6. Bảo Tàng Hồ Chí Minh","https://www.tripadvisor.com.vn/Attraction_Review-g293924-d311066-Reviews-Ho_Chi_Minh_Museum-Hanoi.html"
"1724168237-7","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-Hanoi.html","","7. Phòng tranh Green Palm","https://www.tripadvisor.com.vn/Attraction_Review-g293924-d10035816-Reviews-Green_Palm_Gallery-Hanoi.html"
"1724168237-8","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-Hanoi.html","","8. Bảo Tàng Lịch Sử Quốc Gia","https://www.tripadvisor.com.vn/Attraction_Review-g293924-d311071-Reviews-Vietnam_National_Museum_of_History-Hanoi.html"
"1724168237-9","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-Hanoi.html","","9. Ancient House","https://www.tripadvisor.com.vn/Attraction_Review-g293924-d2264809-Reviews-Ancient_House-Hanoi.html"
"1724168237-10","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-Hanoi.html","","10. Bảo Tàng Công An Hà Nội","https://www.tripadvisor.com.vn/Attraction_Review-g293924-d8616599-Reviews-Hanoi_Police_Museum-Hanoi.html"
"1724168237-11","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-Hanoi.html","","11. Nguyen Art Gallery in Hanoi","https://www.tripadvisor.com.vn/Attraction_Review-g293924-d6226404-Reviews-Nguyen_Art_Gallery_in_Hanoi-Hanoi.html"
"1724168237-12","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-Hanoi.html","","12. Hanoi Flag Tower","https://www.tripadvisor.com.vn/Attraction_Review-g293924-d1486502-Reviews-Hanoi_Flag_Tower-Hanoi.html"
"1724168237-13","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-Hanoi.html","","13. B52 Victory Museum","https://www.tripadvisor.com.vn/Attraction_Review-g293924-d4731869-Reviews-B52_Victory_Museum-Hanoi.html"
"1724168237-14","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-Hanoi.html","","14. Bảo tàng Không quân Việt Nam","https://www.tripadvisor.com.vn/Attraction_Review-g293924-d1383220-Reviews-Vietnamese_Air_Force_Museum-Hanoi.html"
"1724168237-15","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-Hanoi.html","","15. Vincom Center for Contemporary Art (VCCA)","https://www.tripadvisor.com.vn/Attraction_Review-g293924-d6922234-Reviews-Vincom_Center_for_Contemporary_Art_VCCA-Hanoi.html"
"1724168237-16","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-Hanoi.html","","16. Dao Anh Khanh Studio","https://www.tripadvisor.com.vn/Attraction_Review-g293924-d8078839-Reviews-Dao_Anh_Khanh_Studio-Hanoi.html"
"1724168237-17","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-Hanoi.html","","17. DC Art Gallary 13 Hàng Gai","https://www.tripadvisor.com.vn/Attraction_Review-g293924-d25395396-Reviews-DC_Art_Gallary_13_Hang_Gai-Hanoi.html"
"1724168237-18","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-Hanoi.html","","18. Bảo Tàng Công An Nhân Dân Việt Nam","https://www.tripadvisor.com.vn/Attraction_Review-g293924-d11965037-Reviews-Vietnam_Military_History_Museum-Hanoi.html"
"1724168237-19","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-Hanoi.html","","19. GP Home Handicraft","https://www.tripadvisor.com.vn/Attraction_Review-g293924-d26454028-Reviews-GP_Home_Handicraft-Hanoi.html"
"1724168237-20","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-Hanoi.html","","20. Museum of the Revolution","https://www.tripadvisor.com.vn/Attraction_Review-g293924-d311072-Reviews-Museum_of_the_Revolution-Hanoi.html"
"1724168237-21","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-Hanoi.html","","21. Bảo tàng Nguyễn Văn Huyên","https://www.tripadvisor.com.vn/Attraction_Review-g293924-d8012551-Reviews-Nguyen_Van_Huyen_Museum-Hanoi.html"
"1724168237-22","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-Hanoi.html","","22. D&C Art Gallery","https://www.tripadvisor.com.vn/Attraction_Review-g293924-d11949948-Reviews-D_C_Art_Gallery-Hanoi.html"
"1724168237-23","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-Hanoi.html","","23. Phòng tranh Empty Wall","https://www.tripadvisor.com.vn/Attraction_Review-g293924-d10059506-Reviews-Empty_Wall_Gallery-Hanoi.html"
"1724168237-24","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-Hanoi.html","","24. Trung Tâm Giao Lưu Văn Hoá Phố Cổ","https://www.tripadvisor.com.vn/Attraction_Review-g293924-d10101162-Reviews-Hanoi_Old_Quarter_Culture_Exchange_Center-Hanoi.html"
"1724168237-25","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-Hanoi.html","","25. Thang Long Art Gallery","https://www.tripadvisor.com.vn/Attraction_Review-g293924-d2486466-Reviews-Thang_Long_Art_Gallery-Hanoi.html"
"1724168237-26","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-Hanoi.html","","26. Bảo Tàng Đường Hồ Chí Minh","https://www.tripadvisor.com.vn/Attraction_Review-g293924-d8141204-Reviews-Ho_Chi_Minh_Trail_Museum-Hanoi.html"
"1724168237-27","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-Hanoi.html","","27. Klimt Art Gallery","https://www.tripadvisor.com.vn/Attraction_Review-g293924-d15295960-Reviews-Klimt_Art_Gallery-Hanoi.html"
"1724168237-28","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-Hanoi.html","","28. YNOT","https://www.tripadvisor.com.vn/Attraction_Review-g293924-d7224433-Reviews-YNOT-Hanoi.html"
"1724168237-29","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-Hanoi.html","","29. D&C Art Gallery HQ","https://www.tripadvisor.com.vn/Attraction_Review-g293924-d16849966-Reviews-D_C_Art_Gallery_HQ-Hanoi.html"
"1724168237-30","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-Hanoi.html","","30. Red Moon Gallery","https://www.tripadvisor.com.vn/Attraction_Review-g293924-d1908755-Reviews-Red_Moon_Gallery-Hanoi.html"
"1724168241-31","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-Hanoi.html","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-oa30-Hanoi.html","31. Geological Museum","https://www.tripadvisor.com.vn/Attraction_Review-g293924-d590925-Reviews-Geological_Museum-Hanoi.html"
"1724168241-32","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-Hanoi.html","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-oa30-Hanoi.html","32. Phòng Tranh Á Đông","https://www.tripadvisor.com.vn/Attraction_Review-g293924-d10092398-Reviews-A_Dong_Art_Gallery-Hanoi.html"
"1724168241-33","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-Hanoi.html","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-oa30-Hanoi.html","33. Ha Noi Gallery","https://www.tripadvisor.com.vn/Attraction_Review-g293924-d2418839-Reviews-Ha_Noi_Gallery-Hanoi.html"
"1724168241-34","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-Hanoi.html","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-oa30-Hanoi.html","34. Bảo tàng Nhân học","https://www.tripadvisor.com.vn/Attraction_Review-g293924-d8404099-Reviews-Museum_of_Anthropology-Hanoi.html"
"1724168241-35","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-Hanoi.html","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-oa30-Hanoi.html","35. Bảo tàng thiên nhiên Việt Nam","https://www.tripadvisor.com.vn/Attraction_Review-g293924-d9995703-Reviews-Vietnam_National_Museum_of_Nature-Hanoi.html"
"1724168241-36","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-Hanoi.html","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-oa30-Hanoi.html","36. The Muse Art Space","https://www.tripadvisor.com.vn/Attraction_Review-g293924-d23644743-Reviews-The_Muse_Art_Space-Hanoi.html"
"1724168241-37","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-Hanoi.html","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-oa30-Hanoi.html","37. M Space Gallery","https://www.tripadvisor.com.vn/Attraction_Review-g293924-d23627340-Reviews-M_Space_Galerry-Hanoi.html"
"1724168241-38","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-Hanoi.html","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-oa30-Hanoi.html","38. Phòng Tranh Đông Phong","https://www.tripadvisor.com.vn/Attraction_Review-g293924-d8403743-Reviews-Dong_Phong_Art_Gallery-Hanoi.html"
"1724168241-39","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-Hanoi.html","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-oa30-Hanoi.html","39. Art Vietnam Gallery","https://www.tripadvisor.com.vn/Attraction_Review-g293924-d8078042-Reviews-Art_Vietnam_Gallery-Hanoi.html"
"1724168241-40","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-Hanoi.html","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-oa30-Hanoi.html","40. Hathor Art Gallery","https://www.tripadvisor.com.vn/Attraction_Review-g293924-d15588333-Reviews-Hathor_Art_Gallery-Hanoi.html"
"1724168241-41","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-Hanoi.html","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-oa30-Hanoi.html","41. Apricot Gallery","https://www.tripadvisor.com.vn/Attraction_Review-g293924-d8540410-Reviews-Apricot_Gallery-Hanoi.html"
"1724168241-42","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-Hanoi.html","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-oa30-Hanoi.html","42. Hanoi Museum","https://www.tripadvisor.com.vn/Attraction_Review-g293924-d4581028-Reviews-Hanoi_Museum-Hanoi.html"
"1724168241-43","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-Hanoi.html","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-oa30-Hanoi.html","43. Zó Project","https://www.tripadvisor.com.vn/Attraction_Review-g293924-d10077982-Reviews-Zo_Project-Hanoi.html"
"1724168241-44","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-Hanoi.html","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-oa30-Hanoi.html","44. Heritage Sapce","https://www.tripadvisor.com.vn/Attraction_Review-g293924-d8517712-Reviews-Heritage_Sapce-Hanoi.html"
"1724168241-45","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-Hanoi.html","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-oa30-Hanoi.html","45. Hanoi Studio Gallery","https://www.tripadvisor.com.vn/Attraction_Review-g293924-d10516182-Reviews-Hanoi_Studio_Gallery-Hanoi.html"
"1724168241-46","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-Hanoi.html","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-oa30-Hanoi.html","46. Bùi Mai Hiên Gallery","https://www.tripadvisor.com.vn/Attraction_Review-g293924-d8078344-Reviews-Bui_Mai_Hien_Gallery-Hanoi.html"
"1724168241-47","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-Hanoi.html","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-oa30-Hanoi.html","47. Blue Gallery","https://www.tripadvisor.com.vn/Attraction_Review-g293924-d8861380-Reviews-Blue_Gallery-Hanoi.html"
"1724168241-48","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-Hanoi.html","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-oa30-Hanoi.html","48. D&C Art Gallery","https://www.tripadvisor.com.vn/Attraction_Review-g293924-d7945909-Reviews-D_C_Art_Gallery-Hanoi.html"
"1724168241-49","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-Hanoi.html","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-oa30-Hanoi.html","49. Vụn Art","https://www.tripadvisor.com.vn/Attraction_Review-g293924-d17789496-Reviews-Vun_Art-Hanoi.html"
"1724168241-50","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-Hanoi.html","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-oa30-Hanoi.html","50. Inkonic Tattoo Studio","https://www.tripadvisor.com.vn/Attraction_Review-g293924-d26702042-Reviews-Inkonic_Tattoo_Studio-Hanoi.html"
"1724168241-51","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-Hanoi.html","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-oa30-Hanoi.html","51. La Ba Quan - Vietnamese Artist","https://www.tripadvisor.com.vn/Attraction_Review-g293924-d12351120-Reviews-La_Ba_Quan_Vietnamese_Artist-Hanoi.html"
"1724168241-52","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-Hanoi.html","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-oa30-Hanoi.html","52. Phòng Tranh Viet Fine Arts","https://www.tripadvisor.com.vn/Attraction_Review-g293924-d8532671-Reviews-Viet_Fine_Arts_Gallery-Hanoi.html"
